,Host,CID_Host,Guest,CID_Guest,pH,T,DeltaG,Erreur,K,logK,Reference,Original_Value,Drop
101,methyl beta-cyclodextrin,51051622,pulegone,442495.0,7.0,298.0,-16.55,0.0,796,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
102,alpha-cyclodextrin,444913,4-cyanophenolate,23270156.0,10.0,298.0,-15.9,0.0,613,," Eftink, M. R.; Harrison, J. C. Bioorg. Chem. 1981, 10, 388-398.",DeltaG,False
103,sulfobutylether-beta-cd,91886200,pulegone,442495.0,7.0,298.0,-15.99,0.0,635,,"Kfoury, M., Auezova, L., Greige-Gerges, H. et al. Encapsulation in cyclodextrins to widen the applications of essential oils. Environ Chem Lett 17, 129–143 (2019). https://doi.org/10.1007/s10311-018-0783-y",K,False
104,alpha-cyclodextrin,444913,cyclobutanol,76218.0,6.9,298.0,-8.46,0.13,30,," Rekharsky, M. V.; Mayhew, M. P.; Goldberg, R. N.; Ross, P. D.; Yamashoji, Y.; Inoue, Y.; A J. Phys. Chem. 1997, 101, 87-100.",DeltaG,False
105,beta-cyclodextrin,444041,cinnamaldehyde,637511.0,7.0,298.0,-15.14,0.0,450,,"Decock G, Landy D, Surpateanu G, Fourmentin S (2008) Study of theretention of aroma components by cyclodextrins by static head-space gas chromatography. J Incl Phenom Macrocycl 62:297–302",K,False
106,alpha-cyclodextrin,444913,cycloheptanol,10399.0,6.9,298.0,-10.5,0.5,69,," Rekharsky, M. V.; Mayhew, M. P.; Goldberg, R. N.; Ross, P. D.; Yamashoji, Y.; Inoue, Y.; A J. Phys. Chem. 1997, 101, 87-100.",DeltaG,False
107,hp-beta-cd,138319308,cinnamaldehyde,637511.0,7.0,298.0,-17.04,0.0,969,,"Decock G, Landy D, Surpateanu G, Fourmentin S (2008) Study of theretention of aroma components by cyclodextrins by static head-space gas chromatography. J Incl Phenom Macrocycl 62:297–302",K,False
108,alpha-cyclodextrin,444913,cinnamaldehyde,637511.0,7.0,298.0,-13.54,0.0,236,,"Decock G, Landy D, Surpateanu G, Fourmentin S (2008) Study of theretention of aroma components by cyclodextrins by static head-space gas chromatography. J Incl Phenom Macrocycl 62:297–302",K,False
109,alpha-cyclodextrin,444913,cyclohexanecarboxylic acid,7413.0,7.0,298.0,-9.74,0.03,51,," Gelb, R. I.; Schwartz, L. M. J. Inclusion Phenom. Mol. Recognit. Chem. 1989, 7, 465-476.",DeltaG,False
110,alpha-cyclodextrin,444913,"cis-1,2-cyclohexanediol",92903.0,6.9,298.0,-6.9,0.2,16,," Rekharsky, M. V.; Schwarz, F. P.; Tewari, Y. B.; Goldberg, R. N.; Tanaka, M.; Yamashoji, Y. J. Phys. Chem. 1994, 98, 4098- 4103. Rekharsky and Inoue",DeltaG,False
111,methyl beta-cyclodextrin,51051622,cinnamaldehyde,637511.0,7.0,298.0,-18.42,0.0,1696,,"Decock G, Landy D, Surpateanu G, Fourmentin S (2008) Study of theretention of aroma components by cyclodextrins by static head-space gas chromatography. J Incl Phenom Macrocycl 62:297–302",K,False
112,alpha-cyclodextrin,444913,eugenol,3314.0,7.0,298.0,-11.26,0.0,94,,"Decock G, Landy D, Surpateanu G, Fourmentin S (2008) Study of theretention of aroma components by cyclodextrins by static head-space gas chromatography. J Incl Phenom Macrocycl 62:297–302",K,False
113,alpha-cyclodextrin,444913,"trans-1,2-cyclohexanediol",92886.0,6.9,298.0,-7.0,0.3,17,," Rekharsky, M. V.; Schwarz, F. P.; Tewari, Y. B.; Goldberg, R. N.; Tanaka, M.; Yamashoji, Y. J. Phys. Chem. 1994, 98, 4098- 4103. Rekharsky and Inoue",DeltaG,False
114,alpha-cyclodextrin,444913,cyclohexanone,7967.0,6.9,298.0,-7.7,0.4,22,," Rekharsky, M. V.; Schwarz, F. P.; Tewari, Y. B.; Goldberg, R. N.; Tanaka, M.; Yamashoji, Y. J. Phys. Chem. 1994, 98, 4098- 4103. Rekharsky and Inoue",DeltaG,False
115,beta-cyclodextrin,444041,eugenol,3314.0,7.0,298.0,-13.81,0.0,264,,"Decock G, Landy D, Surpateanu G, Fourmentin S (2008) Study of theretention of aroma components by cyclodextrins by static head-space gas chromatography. J Incl Phenom Macrocycl 62:297–302",K,False
116,alpha-cyclodextrin,444913,cyclooctanol,12766.0,6.9,298.0,-14.0,10.0,284,," Rekharsky, M. V.; Mayhew, M. P.; Goldberg, R. N.; Ross, P. D.; Yamashoji, Y.; Inoue, Y.; A J. Phys. Chem. 1997, 101, 87-100.",DeltaG,False
117,hp-beta-cd,138319308,eugenol,3314.0,7.0,298.0,-15.2,0.0,462,,"Decock G, Landy D, Surpateanu G, Fourmentin S (2008) Study of theretention of aroma components by cyclodextrins by static head-space gas chromatography. J Incl Phenom Macrocycl 62:297–302",K,False
118,alpha-cyclodextrin,444913,cyclopentanol,7298.0,6.9,298.0,-8.91,0.13,36,," Rekharsky, M. V.; Mayhew, M. P.; Goldberg, R. N.; Ross, P. D.; Yamashoji, Y.; Inoue, Y.; A J. Phys. Chem. 1997, 101, 87-100.",DeltaG,False
119,methyl beta-cyclodextrin,51051622,eugenol,3314.0,7.0,298.0,-15.71,0.0,568,,"Decock G, Landy D, Surpateanu G, Fourmentin S (2008) Study of theretention of aroma components by cyclodextrins by static head-space gas chromatography. J Incl Phenom Macrocycl 62:297–302",K,False
120,alpha-cyclodextrin,444913,decanedioate,1549016.0,7.0,298.0,-18.2,0.0,1550,," Watanabe, M.; Nakamura, H.; Matsuo, T. Bull. Chem. Soc. Jpn. 1992, 65, 164-169.",DeltaG,False
121,alpha-cyclodextrin,444913,isoeugenol,853433.0,7.0,298.0,-11.01,0.0,85,,"Decock G, Landy D, Surpateanu G, Fourmentin S (2008) Study of theretention of aroma components by cyclodextrins by static head-space gas chromatography. J Incl Phenom Macrocycl 62:297–302",K,False
122,alpha-cyclodextrin,444913,decanedioate,1549016.0,11.3,298.0,-18.6,0.1,1821,," Castronuovo, G.; Elia, V.; Velleca, F.; Viscardi, G. Thermochim. Acta 1997, 292, 31-37.",DeltaG,False
123,beta-cyclodextrin,444041,isoeugenol,853433.0,7.0,298.0,-13.73,0.0,255,,"Decock G, Landy D, Surpateanu G, Fourmentin S (2008) Study of theretention of aroma components by cyclodextrins by static head-space gas chromatography. J Incl Phenom Macrocycl 62:297–302",K,False
124,alpha-cyclodextrin,444913,decanedioic acid,5192.0,1.3,298.0,-19.2,0.3,2320,," Castronuovo, G.; Elia, V.; Velleca, F.; Viscardi, G. Thermochim. Acta 1997, 292, 31-37.",DeltaG,False
125,hp-beta-cd,138319308,isoeugenol,853433.0,7.0,298.0,-15.09,0.0,441,,"Decock G, Landy D, Surpateanu G, Fourmentin S (2008) Study of theretention of aroma components by cyclodextrins by static head-space gas chromatography. J Incl Phenom Macrocycl 62:297–302",K,False
126,alpha-cyclodextrin,444913,"1,10-decanediol",37153.0,7.0,288.0,-22.4,0.3,11557,," Bastos, M.; Briggner, L.-E.; Shehatta, I.; Wadso¨, I. J. Chem. Thermodyn. 1990, 22, 1181-1190.",DeltaG,True
127,methyl beta-cyclodextrin,51051622,isoeugenol,853433.0,7.0,298.0,-15.47,0.0,514,,"Decock G, Landy D, Surpateanu G, Fourmentin S (2008) Study of theretention of aroma components by cyclodextrins by static head-space gas chromatography. J Incl Phenom Macrocycl 62:297–302",K,False
128,alpha-cyclodextrin,444913,"1,10-decanediol",37153.0,7.0,308.0,-22.0,0.1,5385,," Bastos, M.; Briggner, L.-E.; Shehatta, I.; Wadso¨, I. J. Chem. Thermodyn. 1990, 22, 1181-1190.",DeltaG,False
129,alpha-cyclodextrin,444913,estragole,8815.0,7.0,298.0,-15.29,0.0,478,,"Kfoury M, Auezova L, Ruellan S, Greige-Gerges H, Fourmentin S(2015b)  Complexation  of  estragole  as  pure  compound  andas main component of basil and tarragon essential oils withcyclodextrins.  Carbohydr  Polym  118:156–164.  https://doi.org/10.1016/j.carbpol.2014.10.073",K,False
130,alpha-cyclodextrin,444913,diethylamine,8021.0,7.0,298.0,-8.8,0.5,35,," Spencer, J. N.; Mihalick, J. E.; Paul, I. M.; Petigara, B.; Wu, Z.; Chen, S.; Yoder, C. H. J. Solution Chem. 1996, 25, 747-756.",DeltaG,False
131,beta-cyclodextrin,444041,estragole,8815.0,7.0,298.0,-16.96,0.0,939,,"Kfoury M, Auezova L, Ruellan S, Greige-Gerges H, Fourmentin S(2015b)  Complexation  of  estragole  as  pure  compound  andas main component of basil and tarragon essential oils withcyclodextrins.  Carbohydr  Polym  118:156–164.  https://doi.org/10.1016/j.carbpol.2014.10.073",K,False
132,alpha-cyclodextrin,444913,dioxane,31275.0,4.0,298.0,-3.7,0.2,4,," Gelb, R. I.; Schwartz, L. M.; Radeods, M.; Edmonds, R. B.; Laufer, D. A. J. Am. Chem. Soc. 1982, 104, 6283-6288.",DeltaG,False
133,methyl beta-cyclodextrin,51051622,estragole,8815.0,7.0,298.0,-18.52,0.0,1761,,"Kfoury M, Auezova L, Ruellan S, Greige-Gerges H, Fourmentin S(2015b)  Complexation  of  estragole  as  pure  compound  andas main component of basil and tarragon essential oils withcyclodextrins.  Carbohydr  Polym  118:156–164.  https://doi.org/10.1016/j.carbpol.2014.10.073",K,False
134,alpha-cyclodextrin,444913,dodecanedioate,6991984.0,7.0,298.0,-21.6,0.0,6113,," Watanabe, M.; Nakamura, H.; Matsuo, T. Bull. Chem. Soc. Jpn. 1992, 65, 164-169.",DeltaG,False
135,hp-beta-cd,138319308,estragole,8815.0,7.0,298.0,-18.25,0.0,1581,,"Kfoury M, Auezova L, Ruellan S, Greige-Gerges H, Fourmentin S(2015b)  Complexation  of  estragole  as  pure  compound  andas main component of basil and tarragon essential oils withcyclodextrins.  Carbohydr  Polym  118:156–164.  https://doi.org/10.1016/j.carbpol.2014.10.073",K,False
136,alpha-cyclodextrin,444913,"(1r,2s)-(-)-ephedrine",5032.0,6.9,298.0,-7.02,0.13,17,," Rekharsky, M. V.; Goldberg, R. N.; Schwarz, F. P.; Tewari, Y. B.; Ross, P. D.; Yamashoji, Y.; Inoue, Y. J. Am. Chem. Soc. 1995, 117, 8830-8840.",DeltaG,False
137,gamma-cyclodextrin,5287407,estragole,8815.0,7.0,298.0,-11.6,0.0,108,,"Jiang S, Li JN, Jiang ZT (2010) Inclusion reactions of β-cyclodextrinand  its  derivatives  with  cinnamaldehyde  in  Cinnamomum loureirii essential oil. Eur Food Res Technol 230(4):543–550.https://doi.org/10.1007/s00217-009-1192-z",K,False
138,alpha-cyclodextrin,444913,"(1r,2s)-(-)-ephedrine",5032.0,5.0,298.0,-6.1,0.32,12,," Rekharsky, M. V.; Goldberg, R. N.; Schwarz, F. P.; Tewari, Y. B.; Ross, P. D.; Yamashoji, Y.; Inoue, Y. J. Am. Chem. Soc. 1995, 117, 8830-8840.",DeltaG,False
139,sulfobutylether-beta-cd,91886200,estragole,8815.0,7.0,298.0,-18.08,0.0,1479,,"Kfoury M, Pipkin JD, Antle V, Fourmentin S (2017)  Captisol<s>®</s>: anefficient carrier and solubilizing agent for essential oils andtheir components. Flavour Fragr J 32(5):340–346. https://doi.org/10.1002/ffj.3395",K,False
140,alpha-cyclodextrin,444913,"(1s,2r)-(+)-ephedrine",6922967.0,6.9,298.0,-7.17,0.13,18,," Rekharsky, M. V.; Goldberg, R. N.; Schwarz, F. P.; Tewari, Y. B.; Ross, P. D.; Yamashoji, Y.; Inoue, Y. J. Am. Chem. Soc. 1995, 117, 8830-8840.",DeltaG,False
141,hp-beta-cd,138319308,thymol,6989.0,7.0,298.0,-18.1,0.0,1488,,"Kfoury M, Landy D, Ruellan S, Auezova L, Greige-Gerges H, Four-mentin S (2016d) Determination of formation constants andstructural characterization of cyclodextrin inclusion complexeswith two phenolic isomers: carvacrol and thymol. Beilstein J Org Chem 12(12):29–42. https://doi.org/10.3762/bjoc.12.5",K,False
142,alpha-cyclodextrin,444913,"(1s,2r)-(+)-ephedrine",6922967.0,5.0,298.0,-5.42,0.42,9,," Rekharsky, M. V.; Goldberg, R. N.; Schwarz, F. P.; Tewari, Y. B.; Ross, P. D.; Yamashoji, Y.; Inoue, Y. J. Am. Chem. Soc. 1995, 117, 8830-8840.",DeltaG,False
143,alpha-cyclodextrin,444913,thymol,6989.0,7.0,298.0,-11.58,0.0,107,,"Kfoury M, Landy D, Ruellan S, Auezova L, Greige-Gerges H, Four-mentin S (2016d) Determination of formation constants andstructural characterization of cyclodextrin inclusion complexeswith two phenolic isomers: carvacrol and thymol. Beilstein J Org Chem 12(12):29–42. https://doi.org/10.3762/bjoc.12.5",K,False
144,alpha-cyclodextrin,444913,ethanol,702.0,7.0,298.0,-5.7,0.0,10,," Fujiwara, H.; Arakawa, H.; Murata, S.; Sasaki, Y.; Bull. Chem. Soc. Jpn. 1987, 60, 3891-3894.",DeltaG,False
145,beta-cyclodextrin,444041,thymol,6989.0,7.0,298.0,-18.06,0.0,1467,,"Kfoury M, Landy D, Ruellan S, Auezova L, Greige-Gerges H, Four-mentin S (2016d) Determination of formation constants andstructural characterization of cyclodextrin inclusion complexeswith two phenolic isomers: carvacrol and thymol. Beilstein J Org Chem 12(12):29–42. https://doi.org/10.3762/bjoc.12.5",K,False
146,alpha-cyclodextrin,444913,ethyl decanoate,8048.0,4.3,293.0,-9.4,0.0,47,," Ito, K.; Kikuchi, K.; Okazaki, N.; Kobayashi, S. Agric. Biol. Chem. 1988, 52, 2763-2769.",DeltaG,False
147,gamma-cyclodextrin,5287407,thymol,6989.0,7.0,298.0,-13.51,0.0,233,,"Kfoury M, Landy D, Ruellan S, Auezova L, Greige-Gerges H, Four-mentin S (2016d) Determination of formation constants andstructural characterization of cyclodextrin inclusion complexeswith two phenolic isomers: carvacrol and thymol. Beilstein J Org Chem 12(12):29–42. https://doi.org/10.3762/bjoc.12.5",K,False
148,alpha-cyclodextrin,444913,4-fluorophenol,9732.0,4.0,298.0,-8.9,0.5,36,," Hirayama, F.; Kurihara, M.; Uekama, K. Int. J. Pharm. 1987, 35, 193-199.",DeltaG,False
149,methyl beta-cyclodextrin,51051622,thymol,6989.0,7.0,298.0,-20.1,0.0,3337,,"Kfoury M, Landy D, Ruellan S, Auezova L, Greige-Gerges H, Four-mentin S (2016d) Determination of formation constants andstructural characterization of cyclodextrin inclusion complexeswith two phenolic isomers: carvacrol and thymol. Beilstein J Org Chem 12(12):29–42. https://doi.org/10.3762/bjoc.12.5",K,False
150,alpha-cyclodextrin,444913,flurbiprofen,3394.0,7.0,298.0,-10.5,0.0,69,," Ueda, H.; Perrin, J. H. J. Pharm. Biomed. Anal. 1986, 4 107- 110.",DeltaG,False
151,beta-cyclodextrin,444041,aromadendrene,91354.0,7.0,298.0,-14.47,0.0,344,,"Kfoury, M., Auezova, L., Greige-Gerges, H. et al. Encapsulation in cyclodextrins to widen the applications of essential oils. Environ Chem Lett 17, 129–143 (2019). https://doi.org/10.1007/s10311-018-0783-y",K,False
152,alpha-cyclodextrin,444913,formic acid,284.0,7.0,298.0,-3.5,0.1,4,," Gelb, R. I.; Schwartz, L. M.; Johnson, R. F.; Laufer, D. A. J. Am. Chem. Soc. 1979, 101, 1869-1874.",DeltaG,False
153,gamma-cyclodextrin,5287407,aromadendrene,91354.0,7.0,298.0,-16.92,0.0,925,,"Kfoury, M., Auezova, L., Greige-Gerges, H. et al. Encapsulation in cyclodextrins to widen the applications of essential oils. Environ Chem Lett 17, 129–143 (2019). https://doi.org/10.1007/s10311-018-0783-y",K,False
154,alpha-cyclodextrin,444913,4-formylphenol,126.0,4.0,298.0,-11.3,0.2,96,," Hirayama, F.; Kurihara, M.; Uekama, K. Int. J. Pharm. 1987, 35, 193-199.",DeltaG,False
155,methyl beta-cyclodextrin,51051622,aromadendrene,91354.0,7.0,298.0,-15.26,0.0,474,,"Kfoury, M., Auezova, L., Greige-Gerges, H. et al. Encapsulation in cyclodextrins to widen the applications of essential oils. Environ Chem Lett 17, 129–143 (2019). https://doi.org/10.1007/s10311-018-0783-y",K,False
156,alpha-cyclodextrin,444913,d-fructose,2723872.0,7.0,298.0,-9.8,1.3,52,," Danil de Namor, A. F.; Blackett, P. M.; Cabaleiro, M. C.; Al Rawl, J. M. A. J. Chem. Soc., Faraday Trans. 1994, 90, 845-847.",DeltaG,False
157,hp-beta-cd,138319308,aromadendrene,91354.0,7.0,298.0,-14.6,0.0,362,,"Kfoury, M., Auezova, L., Greige-Gerges, H. et al. Encapsulation in cyclodextrins to widen the applications of essential oils. Environ Chem Lett 17, 129–143 (2019). https://doi.org/10.1007/s10311-018-0783-y",K,False
158,alpha-cyclodextrin,444913,fumaric acid,444972.0,7.0,298.0,-18.5,0.1,1749,," Aversa, A.; Etter, W.; Gelb, R. I.; Schwartz, L. M. J. Inclusion Phenom. Mol. Recognit. Chem. 1990, 9, 277-285.",DeltaG,False
159,sulfobutylether-beta-cd,91886200,aromadendrene,91354.0,7.0,298.0,-17.71,0.0,1274,,"Kfoury, M., Auezova, L., Greige-Gerges, H. et al. Encapsulation in cyclodextrins to widen the applications of essential oils. Environ Chem Lett 17, 129–143 (2019). https://doi.org/10.1007/s10311-018-0783-y",K,False
160,alpha-cyclodextrin,444913,benzyl alcohol,244.0,7.0,298.0,-9.79,0.0,52,,"Decock G, Landy D, Surpateanu G, Fourmentin S (2008) Study of theretention of aroma components by cyclodextrins by static head-space gas chromatography. J Incl Phenom Macrocycl 62:297–302",K,False
161,alpha-cyclodextrin,444913,d-galactose,6036.0,7.0,298.0,-6.8,1.8,16,," Danil de Namor, A. F.; Blackett, P. M.; Cabaleiro, M. C.; Al Rawl, J. M. A. J. Chem. Soc., Faraday Trans. 1994, 90, 845-847.",DeltaG,False
162,alpha-cyclodextrin,444913,d-glucose,5793.0,7.0,298.0,-15.1,0.8,443,," Hirsch, W.; Muller, T.; Pizer, R.; Ricatto, P. J. Can. J. Chem. 1995, 73, 12-15.",DeltaG,False
163,beta-cyclodextrin,444041,benzyl alcohol,244.0,7.0,298.0,-10.3,0.0,64,,"Decock G, Landy D, Surpateanu G, Fourmentin S (2008) Study of theretention of aroma components by cyclodextrins by static head-space gas chromatography. J Incl Phenom Macrocycl 62:297–302",K,False
164,alpha-cyclodextrin,444913,glutaric acid,743.0,7.0,298.0,-14.1,0.1,296,," Aversa, A.; Etter, W.; Gelb, R. I.; Schwartz, L. M. J. Inclusion Phenom. Mol. Recognit. Chem. 1990, 9, 277-285.",DeltaG,False
165,methyl beta-cyclodextrin,51051622,benzyl alcohol,244.0,7.0,298.0,-9.84,0.0,53,,"Decock G, Landy D, Surpateanu G, Fourmentin S (2008) Study of theretention of aroma components by cyclodextrins by static head-space gas chromatography. J Incl Phenom Macrocycl 62:297–302",K,False
166,alpha-cyclodextrin,444913,heptanedioic acid,385.0,7.0,298.0,-16.4,0.1,749,," Aversa, A.; Etter, W.; Gelb, R. I.; Schwartz, L. M. J. Inclusion Phenom. Mol. Recognit. Chem. 1990, 9, 277-285.",DeltaG,False
167,hp-beta-cd,138319308,benzyl alcohol,244.0,7.0,298.0,-10.26,0.0,63,,"Decock G, Landy D, Surpateanu G, Fourmentin S (2008) Study of theretention of aroma components by cyclodextrins by static head-space gas chromatography. J Incl Phenom Macrocycl 62:297–302",K,False
168,alpha-cyclodextrin,444913,heptanedioic acid,385.0,1.3,298.0,-16.3,0.1,720,," Castronuovo, G.; Elia, V.; Velleca, F.; Viscardi, G. Thermochim. Acta 1997, 292, 31-37.",DeltaG,False
169,alpha-cyclodextrin,444913,"1,7-heptanediol",12381.0,7.0,288.0,-14.3,0.1,392,," Bastos, M.; Briggner, L.-E.; Shehatta, I.; Wadso¨, I. J. Chem. Thermodyn. 1990, 22, 1181-1190.",DeltaG,False
170,alpha-cyclodextrin,444913,camphene,6616.0,7.0,298.0,-15.84,0.0,598,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
171,alpha-cyclodextrin,444913,heptanoate,93052.0,6.9,298.0,-16.7,0.11,846,," Rekharsky, M. V.; Mayhew, M. P.; Goldberg, R. N.; Ross, P. D.; Yamashoji, Y.; Inoue, Y.; A J. Phys. Chem. 1997, 101, 87-100.",DeltaG,False
172,alpha-cyclodextrin,444913,heptanoate,93052.0,11.3,298.0,-17.6,0.0,1216,," Castronuovo, G.; Elia, V.; Fessas, D.; Velleca, F.; Viscardi, G. Carbohydr. Res. 1996, 287, 127-138.",DeltaG,False
173,beta-cyclodextrin,444041,camphene,6616.0,7.0,298.0,-21.01,0.0,4825,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
174,alpha-cyclodextrin,444913,(r)-(-)-2-heptanol,6992611.0,6.9,298.0,-16.4,0.7,749,," Rekharsky, M. V.; Schwarz, F. P.; Tewari, Y. B.; Goldberg, R. N. J. Phys. Chem. 1994, 98, 10282-10288.",DeltaG,False
175,gamma-cyclodextrin,5287407,camphene,6616.0,7.0,298.0,-14.58,0.0,360,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
176,alpha-cyclodextrin,444913,(s)-(+)-2-heptanol,2724897.0,6.9,298.0,-16.5,0.4,780,," Rekharsky, M. V.; Schwarz, F. P.; Tewari, Y. B.; Goldberg, R. N. J. Phys. Chem. 1994, 98, 10282-10288.",DeltaG,False
177,methyl beta-cyclodextrin,51051622,camphene,6616.0,7.0,298.0,-21.58,0.0,6057,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
178,alpha-cyclodextrin,444913,1-heptanol,8129.0,7.0,298.0,-17.5,0.3,1168,," Halle´n, D.; Scho¨n, A.; Shehatta, I.; Wadso¨, I. J. Chem. Soc., Faraday Trans. 1992, 88, 2859-2863.",DeltaG,False
179,hp-beta-cd,138319308,camphene,6616.0,7.0,298.0,-19.86,0.0,3033,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
180,alpha-cyclodextrin,444913,6-heptenoate,6992254.0,6.9,298.0,-15.05,0.03,435,," Rekharsky, M. V.; Mayhew, M. P.; Goldberg, R. N.; Ross, P. D.; Yamashoji, Y.; Inoue, Y.; A J. Phys. Chem. 1997, 101, 87-100.",DeltaG,False
181,sulfobutylether-beta-cd,91886200,camphene,6616.0,7.0,298.0,-20.9,0.0,4616,,"Kfoury M, Pipkin JD, Antle V, Fourmentin S (2017)  Captisol<s>®</s>: anefficient carrier and solubilizing agent for essential oils andtheir components. Flavour Fragr J 32(5):340–346. https://doi.org/10.1002/ffj.3395",K,False
182,alpha-cyclodextrin,444913,camphor,2537.0,7.0,298.0,-12.92,0.0,184,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
183,alpha-cyclodextrin,444913,hexanedioic acid,196.0,7.0,298.0,-14.3,0.1,321,," Aversa, A.; Etter, W.; Gelb, R. I.; Schwartz, L. M. J. Inclusion Phenom. Mol. Recognit. Chem. 1990, 9, 277-285.",DeltaG,False
184,alpha-cyclodextrin,444913,hexanedioic acid,196.0,1.3,298.0,-14.0,0.1,284,," Castronuovo, G.; Elia, V.; Velleca, F.; Viscardi, G. Thermochim. Acta 1997, 292, 31-37.",DeltaG,False
